id|name|sku|price|stock|color|model|screen_size
001|iPhone 16 Pro Max|IPH-16PM-BLK-256|52900|15|ดำไทเทเนียม|iPhone 16 Pro Max|6.9
002|iPhone 16 Pro Max|IPH-16PM-WHT-256|52900|10|ขาวไทเทเนียม|iPhone 16 Pro Max|6.9
003|iPhone 16 Pro Max|IPH-16PM-NAT-512|58900|8|เนเชอรัลไทเทเนียม|iPhone 16 Pro Max|6.9
004|iPhone 16 Pro Max|IPH-16PM-DST-1TB|67900|3|ทรายทะเลทราย|iPhone 16 Pro Max|6.9
005|iPhone 16 Pro|IPH-16P-BLK-128|44900|20|ดำไทเทเนียม|iPhone 16 Pro|6.3
006|iPhone 16 Pro|IPH-16P-WHT-256|48900|12|ขาวไทเทเนียม|iPhone 16 Pro|6.3
007|iPhone 16 Pro|IPH-16P-NAT-256|48900|9|เนเชอรัลไทเทเนียม|iPhone 16 Pro|6.3
008|iPhone 16 Pro|IPH-16P-DST-512|54900|5|ทรายทะเลทราย|iPhone 16 Pro|6.3
009|iPhone 16|IPH-16-BLK-128|32900|25|ดำ|iPhone 16|6.1
010|iPhone 16|IPH-16-WHT-128|32900|18|ขาว|iPhone 16|6.1
011|iPhone 16|IPH-16-PNK-256|36900|14|ชมพู|iPhone 16|6.1
012|iPhone 16|IPH-16-BLU-256|36900|11|น้ำเงิน|iPhone 16|6.1
013|iPhone 16 Plus|IPH-16PL-BLK-128|37900|16|ดำ|iPhone 16 Plus|6.7
014|iPhone 16 Plus|IPH-16PL-WHT-256|41900|7|ขาว|iPhone 16 Plus|6.7
015|iPhone 15|IPH-15-BLK-128|26900|30|ดำ|iPhone 15|6.1
016|iPhone 15|IPH-15-BLU-128|26900|22|น้ำเงิน|iPhone 15|6.1
017|Samsung Galaxy S25 Ultra|SAM-S25U-BLK-256|47900|18|ดำไทเทเนียม|Galaxy S25 Ultra|6.9
018|Samsung Galaxy S25 Ultra|SAM-S25U-GRY-256|47900|14|เทาไทเทเนียม|Galaxy S25 Ultra|6.9
019|Samsung Galaxy S25 Ultra|SAM-S25U-BLU-512|53900|6|น้ำเงินไทเทเนียม|Galaxy S25 Ultra|6.9
020|Samsung Galaxy S25 Ultra|SAM-S25U-SLV-1TB|61900|2|เงินไทเทเนียม|Galaxy S25 Ultra|6.9
021|Samsung Galaxy S25+|SAM-S25P-NVY-256|37900|20|กรมท่า|Galaxy S25+|6.7
022|Samsung Galaxy S25+|SAM-S25P-SLV-256|37900|15|เงิน|Galaxy S25+|6.7
023|Samsung Galaxy S25+|SAM-S25P-GRN-512|42900|8|เขียวมิ้นท์|Galaxy S25+|6.7
024|Samsung Galaxy S25|SAM-S25-NVY-128|31900|25|กรมท่า|Galaxy S25|6.2
025|Samsung Galaxy S25|SAM-S25-SLV-128|31900|19|เงิน|Galaxy S25|6.2
026|Samsung Galaxy S25|SAM-S25-BLU-256|35900|12|น้ำเงินน้ำแข็ง|Galaxy S25|6.2
027|Samsung Galaxy S24 FE|SAM-S24FE-BLU-128|22900|28|น้ำเงิน|Galaxy S24 FE|6.7
028|Samsung Galaxy S24 FE|SAM-S24FE-GRN-128|22900|20|เขียว|Galaxy S24 FE|6.7
029|Samsung Galaxy S24 FE|SAM-S24FE-GRY-256|25900|10|เทา|Galaxy S24 FE|6.7
030|Samsung Galaxy A56|SAM-A56-BLK-128|14900|35|ดำ|Galaxy A56|6.7
031|Samsung Galaxy A56|SAM-A56-BLU-128|14900|30|น้ำเงิน|Galaxy A56|6.7
032|Samsung Galaxy A56|SAM-A56-LVD-256|16900|18|ม่วงลาเวนเดอร์|Galaxy A56|6.7
033|Samsung Galaxy A36|SAM-A36-BLK-128|10900|40|ดำ|Galaxy A36|6.6
034|Samsung Galaxy A36|SAM-A36-BLU-128|10900|32|น้ำเงิน|Galaxy A36|6.6
035|Samsung Galaxy A16|SAM-A16-BLK-64|6490|50|ดำ|Galaxy A16|6.5
036|Samsung Galaxy A16|SAM-A16-GRN-128|7490|38|เขียว|Galaxy A16|6.5
037|OPPO Find X8 Pro|OPP-FX8P-BLK-256|36990|10|ดำ|Find X8 Pro|6.78
038|OPPO Find X8 Pro|OPP-FX8P-WHT-256|36990|8|ขาวมุก|Find X8 Pro|6.78
039|OPPO Find X8|OPP-FX8-BLK-256|29990|14|ดำ|Find X8|6.59
040|OPPO Find X8|OPP-FX8-BLU-256|29990|11|น้ำเงิน|Find X8|6.59
041|OPPO Reno 12 Pro|OPP-R12P-SLV-256|16990|22|เงิน|Reno 12 Pro|6.7
042|OPPO Reno 12 Pro|OPP-R12P-GLD-256|16990|17|ทอง|Reno 12 Pro|6.7
043|OPPO Reno 12|OPP-R12-BLK-256|13990|28|ดำ|Reno 12|6.7
044|OPPO Reno 12|OPP-R12-GRN-256|13990|20|เขียว|Reno 12|6.7
045|OPPO A3 Pro|OPP-A3P-BLK-128|8990|35|ดำ|A3 Pro|6.67
046|OPPO A3 Pro|OPP-A3P-PRP-128|8990|25|ม่วง|A3 Pro|6.67
047|OPPO A3|OPP-A3-BLK-128|6990|42|ดำ|A3|6.67
048|OPPO A3|OPP-A3-BLU-128|6990|30|น้ำเงิน|A3|6.67
049|Xiaomi 15 Ultra|XIA-15U-BLK-512|39990|8|ดำ|Xiaomi 15 Ultra|6.73
050|Xiaomi 15 Ultra|XIA-15U-WHT-512|39990|5|ขาว|Xiaomi 15 Ultra|6.73
051|Xiaomi 15 Pro|XIA-15P-BLK-256|29990|12|ดำ|Xiaomi 15 Pro|6.73
052|Xiaomi 15 Pro|XIA-15P-GRN-256|29990|9|เขียว|Xiaomi 15 Pro|6.73
053|Xiaomi 15|XIA-15-BLK-256|24990|18|ดำ|Xiaomi 15|6.36
054|Xiaomi 15|XIA-15-WHT-256|24990|14|ขาว|Xiaomi 15|6.36
055|Xiaomi 15|XIA-15-PRP-256|24990|10|ม่วง|Xiaomi 15|6.36
056|Xiaomi 14T Pro|XIA-14TP-BLK-256|18990|20|ดำ|Xiaomi 14T Pro|6.67
057|Xiaomi 14T Pro|XIA-14TP-BLU-256|18990|15|น้ำเงิน|Xiaomi 14T Pro|6.67
058|Xiaomi 14T|XIA-14T-GRY-256|15990|22|เทา|Xiaomi 14T|6.67
059|Xiaomi 14T|XIA-14T-BLU-256|15990|18|น้ำเงิน|Xiaomi 14T|6.67
060|Redmi Note 14 Pro+|XIA-RN14PP-BLK-256|11990|30|ดำ|Redmi Note 14 Pro+|6.67
061|Redmi Note 14 Pro+|XIA-RN14PP-PRP-256|11990|24|ม่วง|Redmi Note 14 Pro+|6.67
